Calling NLP after user transcript: 'תודה רבה...'
prosaas-backend  | 🔍 [DEBUG] _check_appointment_confirmation called with transcript: 'תודה רבה...'
prosaas-backend  | 🔍 [DEBUG] Conversation history length: 2
prosaas-backend  | 🔍 [DEBUG] User messages for hash: ['תודה רבה']
prosaas-backend  | 🔍 [DEBUG] Current conversation hash: 9f00b4ed...
prosaas-backend  | 🔍 [DEBUG] First NLP run - processing
prosaas-backend  | 🔍 [NLP] ✅ WILL PROCESS new conversation state (hash=9f00b4ed...)
prosaas-backend  | 🔍 [DEBUG] CRM context exists: False
prosaas-backend  | [GOODBYE CHECK] No goodbye phrase: 'תודה רבה...'
prosaas-backend  | 🔍 [DEBUG] _check_lead_captured: required_fields from self = ['preferred_time', 'name']
prosaas-backend  | ⏳ [SMART HANGUP] Still missing fields: ['preferred_time', 'name'] | Collected: []
prosaas-backend  | [SAFETY] Transcription successful (total failures: 0)
prosaas-backend  | 🔍 [NLP] ▶️ Analyzing conversation for appointment intent...
prosaas-backend  | 🔍 [NLP] Conversation history has 2 messages
prosaas-backend  | 🔍 [NLP] Last 3 messages: [{'speaker': 'ai', 'text': 'שלום, זאת הנציגה הדיגיטלית של מספרת הגלבוע. איך אוכל לעזור לכם?', 'ts': 1764871753.0193267}, {'speaker': 'user', 'text': 'תודה רבה', 'ts': 1764871758.3104358}]
prosaas-backend  | 🔊 [REALTIME] response.audio.delta: 2668 bytes
prosaas-backend  | 🔊 [REALTIME] response.audio.delta: 2668 bytes
prosaas-backend  | 🔊 [REALTIME] response.audio.delta: 2668 bytes
prosaas-backend  | 🔊 [REALTIME] response.audio_transcript.delta
prosaas-backend  | 🔊 [REALTIME] response.audio_transcript.delta
prosaas-backend  | 🔊 [REALTIME] response.audio_transcript.delta
prosaas-backend  | 🔊 [REALTIME] response.audio.delta: 2668 bytes
prosaas-backend  | 🔊 [REALTIME] response.audio.delta: 2668 bytes
prosaas-backend  | 🔊 [REALTIME] response.audio.delta: 2668 bytes
prosaas-backend  | 🔊 [REALTIME] response.audio.delta: 5868 bytes
prosaas-backend  | 🔊 [REALTIME] response.audio.done
prosaas-backend  | 🔇 [REALTIME] AI stopped speaking (response.audio.done)
prosaas-backend  | 🔥 [BUILD 171] AI finished speaking - cooldown started (800ms)
prosaas-backend  | 🔊 [REALTIME] response.audio_transcript.done
prosaas-backend  | 🤖 [REALTIME] AI said: בשמחה, על איזה שם לרשום את התור?
prosaas-backend  | ⏭️ [LOOP GUARD] Skipped - appointment flow (has_appointment=None, is_scheduling=True)
prosaas-backend  | 💰 [COST] AI utterance: 0.65s (12 chunks)
prosaas-backend  | [GOODBYE CHECK] No goodbye phrase: 'בשמחה, על איזה שם לרשום את התו...'
prosaas-backend  | 🔊 [REALTIME] response.content_part.done
prosaas-backend  | 🔊 [REALTIME] response.output_item.done
prosaas-backend  | 🔥 [BUILD 171] AI finished speaking - cooldown started (800ms)
prosaas-backend  | 🔊 [REALTIME] response.done: status=completed, output_count=1, details=None
